seed,economy,K0,HHI,chi,upstream_alignment,upstream_concentration,supplier_entropy,macro_sensitivity,gamma,worstcase_loss_pct
2075,France,1.0,0.22645260786084553,0.037658930406085894,0.8501098695701675,0.18027736253874221,2.115327250892083,0.850004494109884,0.1940590899857203,6.679154192199218
2075,Germany,1.0,0.22920116957544148,0.03555335984824342,0.8306181733222028,0.17249554035359965,2.1460327860691395,0.9423923468300006,0.18855598597828555,6.638227390440225
2075,Italy,1.0,0.2571713943318431,0.041131873780339515,0.8604748390477774,0.17607975045738675,2.1083014255951964,1.0618270622226054,0.20280994497395713,7.777950806673801
2075,Netherlands,1.0,0.2409510635984559,0.03995174074880615,0.8009175445413534,0.18102122994227865,2.1321112642721394,1.2081002535606882,0.19987931546011994,9.026611398847173
2075,Spain,1.0,0.31097038728353327,0.050572541570120776,0.8735182351811588,0.17607636237131266,2.08555882660947,1.120336956661748,0.22488339549669017,8.074052862963512
2075,Sweden,1.0,0.2451163367425493,0.03923268630841184,0.8319141504812542,0.17824539855338228,2.1381636327470774,0.8893458560425542,0.19807242692614194,6.955081983173353
2075,Denmark,1.0,0.24234967544640432,0.039675006663895215,0.8104182816448512,0.17725517920815248,2.144148654061655,0.9200589718850515,0.19918585959825366,6.83448445724091
2075,Finland,1.0,0.2608924035469426,0.04970657513309518,0.8582665111944987,0.18989731118321385,2.065980496972675,0.9482973238670123,0.2229497143597524,7.975911663491275
2076,France,1.0,0.21058257992174412,0.03463207802053324,0.8794334501858597,0.17445466186465447,2.0993763561704712,0.8530025648023676,0.18609695865471107,6.1458680321498935
2076,Germany,1.0,0.2285965140167278,0.037993939908750496,0.8785699945812685,0.1744369039233618,2.0981352397643547,0.9186330667248128,0.19492034247032938,6.669315166505948
2076,Italy,1.0,0.24405121533083307,0.04158351230712383,0.9077945387525503,0.17655431054621942,2.069274695367811,1.054367295191879,0.20392035775548215,7.897756428421507
2076,Netherlands,1.0,0.21338984143495385,0.03481251670700401,0.8723447572143056,0.17403854850665937,2.105024890203115,1.1024831610864059,0.18658112634187846,7.908067856471836
2076,Spain,1.0,0.26520158003045374,0.04535334589996892,0.9077539575716977,0.17622100306904132,2.0699883953949074,1.1888973856377687,0.21296325011599754,8.964045551841695
2076,Sweden,1.0,0.23808264646850685,0.04004110571692836,0.8706583406898427,0.17533514181977233,2.095301756957574,0.9658557237586408,0.20010273790462826,7.0049381736187355
